title,listing_url,status,transaction,furnishing,facing,bhk,locality,property_id,scraped_timestamp,price_in_lacs,total_floors,price_per_sqft,area_sqft_imputed,floor_number
"3 BHK Flat  for Sale in Sector 61, Ashok Marg, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1750-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-61-in-Noida&id=4d423831313036343639,Ready to Move,Resale,Furnished,North - West,3,"Sector 61, Ashok Marg, Noida",4d423831313036343639,2025-10-15T18:19:46.232648+00:00,221.0,8,34000.0,650.0,6
"5 BHK Flat  for Sale in Sector 115, Noida",https://www.magicbricks.com/propertyDetails/5-BHK-6939-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-115-in-Noida&id=4d423736383031343431,Unknown,Resale,Semi-Furnished,North - East,5,"Sector 115, Noida",4d423736383031343431,2025-10-15T18:19:46.234412+00:00,1100.0,29,1294117.6470588236,85.0,16
"4 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-3501-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423432363033313037,Ready to Move,New Property,Semi-Furnished,East,4,"Sector 107, Dadri Road, Noida",4d423432363033313037,2025-10-15T18:19:46.235937+00:00,650.0,30,78597.33978234582,827.0,10
"4 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-2405-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423739303534313633,Unknown,New Property,Unfurnished,Missing,4,"Noida Extension, Noida",4d423739303534313633,2025-10-15T18:19:46.311869+00:00,288.0,22,71111.11111111111,405.0,10
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1357-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423739323035363837,Unknown,New Property,Semi-Furnished,East,3,"Noida Extension, Noida",4d423739323035363837,2025-10-15T18:19:46.314080+00:00,147.0,3,46519.66372185808,0.0,3
"3 BHK Flat  for Sale in Sector 150, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2350-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-150-in-Noida&id=4d423831343239323937,Unknown,New Property,Unfurnished,Missing,3,"Sector 150, Pusta Road, Noida",4d423831343239323937,2025-10-15T18:19:46.315278+00:00,383.0,22,109428.57142857143,350.0,10
"4 BHK Flat  for Sale in Sector 77, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-4075-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-77-in-Noida&id=4d423831353037383833,Unknown,New Property,Unfurnished,Missing,4,"Sector 77, Noida",4d423831353037383833,2025-10-15T18:19:46.316675+00:00,611.0,22,814666.6666666666,75.0,10
"3 BHK Flat  for Sale in Sector 137, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1565-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-137-in-Noida&id=4d423831303931353033,Ready to Move,Resale,Semi-Furnished,North - East,3,"Sector 137, Noida Express Way, Noida",4d423831303931353033,2025-10-15T18:19:46.318305+00:00,122.0,24,81333.33333333333,150.0,14
"4 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-1995-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423739343136333933,Ready to Move,Resale,Unfurnished,North - East,4,"Noida Extension, Noida",4d423739343136333933,2025-10-15T18:19:46.319793+00:00,155.0,20,15577.88944723618,995.0,17
"3 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1395-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423733363237323031,Ready to Move,New Property,Unfurnished,Missing,3,"Sector 107, Dadri Road, Noida",4d423733363237323031,2025-10-15T18:19:46.321838+00:00,85.0,22,21518.98734177215,395.0,10
