title,listing_url,area_raw,status,floor,transaction,furnishing,facing,bhk,locality,property_id,scraped_timestamp,price_raw
"3 BHK Flat  for Sale in Sector 53, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1230-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-53-in-Noida&id=4d423830343436333437,1230 sqft,Ready to Move,5 out of 5,Resale,Semi-Furnished,North - East,3,"Sector 53, Noida",4d423830343436333437,2025-10-15T18:06:21.666094+00:00,₹90 Lac
"3 BHK Flat  for Sale in Sector 150, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1790-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-150-in-Noida&id=4d423830343531373537,1790 sqft,Ready to Move,1 out of 22,Resale,Furnished,,3,"Sector 150, Pusta Road, Noida",4d423830343531373537,2025-10-15T18:06:21.667466+00:00,₹2.60 Cr
"3 BHK Flat  for Sale in Sector 150, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1404-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-150-in-Noida&id=4d423737333339373239,1404 sqft,,14 out of 22,Resale,Semi-Furnished,,3,"Sector 150, Pusta Road, Noida",4d423737333339373239,2025-10-15T18:06:21.668513+00:00,₹1.54 Cr
"3 BHK Flat  for Sale in Sector 76, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1375-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-76-in-Noida&id=4d423830393534313037,1375 sqft,Ready to Move,22 out of 24,Resale,Unfurnished,,3,"Sector 76, Noida",4d423830393534313037,2025-10-15T18:06:32.144295+00:00,₹1.65 Cr
"3 BHK Flat  for Sale in Sector 146, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2432-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-146-in-Noida&id=4d423739383434373137,2432 sqft,,15 out of 32,Resale,Semi-Furnished,North - West,3,"Sector 146, Noida",4d423739383434373137,2025-10-15T18:06:32.145914+00:00,₹4.55 Cr
"1 BHK Flat  for Sale in Sector 110, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-110-in-Noida&id=4d423235353139393631,600 sqft,Ready to Move,5 out of 5,Resale,Unfurnished,,1,"Sector 110, Dadri Road, Noida",4d423235353139393631,2025-10-15T18:06:32.147160+00:00,₹18 Lac
"3 BHK Flat  for Sale in Sector 151, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1430-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-151-in-Noida&id=4d423830313638323631,1020 sqft,Ready to Move,20 out of 24,Resale,Semi-Furnished,South - East,3,"Sector 151, Noida Express Way, Noida",4d423830313638323631,2025-10-15T18:06:32.148689+00:00,₹1.10 Cr
"3 BHK Flat  for Sale in Sector 151, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1347-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-151-in-Noida&id=4d423734393938323739,1347 sqft,Ready to Move,Ground out of 23,Resale,Unfurnished,,3,"Sector 151, Noida Express Way, Noida",4d423734393938323739,2025-10-15T18:06:32.149786+00:00,₹1.50 Cr
3 BHK Flat  for Sale in  Noida,https://www.magicbricks.com/propertyDetails/3-BHK-1450-Sq-ft-Builder-Floor-Apartment-FOR-Sale-in-Noida&id=4d423739333633333437,1450 sqft,,5 out of 6,Resale,Semi-Furnished,,3,Noida,4d423739333633333437,2025-10-15T18:06:32.150891+00:00,₹90 Lac
"3 BHK Flat  for Sale in Sector 76, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1420-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-76-in-Noida&id=4d423738383635363537,1420 sqft,Ready to Move,12 out of 18,Resale,Semi-Furnished,South -West,3,"Sector 76, Noida",4d423738383635363537,2025-10-15T18:06:32.152425+00:00,₹1.60 Cr
