title,listing_url,area_raw,status,floor,transaction,furnishing,facing,bhk,locality,property_id,scraped_timestamp,price_raw
"4 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-2950-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423737303639353531,2500 sqft,Ready to Move,10 out of 21,New Property,Semi-Furnished,North - East,4,"Sector 107, Dadri Road, Noida",4d423737303639353531,2025-10-15T17:58:54.049268+00:00,₹4.40 Cr
"4 BHK Flat  for Sale in Sector 115, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-2799-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-115-in-Noida&id=4d423734393234333837,2799 sqft,,3 out of 30,Resale,Unfurnished,East,4,"Sector 115, Noida",4d423734393234333837,2025-10-15T17:58:54.057645+00:00,₹4.25 Cr
"3 BHK Flat  for Sale in Sector 115, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2304-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-115-in-Noida&id=4d423733363731353533,2304 sqft,,6 out of 29,Resale,Unfurnished,North - East,3,"Sector 115, Noida",4d423733363731353533,2025-10-15T17:58:54.063499+00:00,₹3.10 Cr
"3 BHK Flat  for Sale in Sector 115, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2034-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-115-in-Noida&id=4d423737393939333233,2034 sqft,,4 out of 29,Resale,Semi-Furnished,North - East,3,"Sector 115, Noida",4d423737393939333233,2025-10-15T17:58:54.065990+00:00,₹3.35 Cr
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423830393239303733,1500 sqft,Ready to Move,16,New Property,Unfurnished,,3,"Noida Extension, Noida",4d423830393239303733,2025-10-15T17:58:54.071491+00:00,₹1.35 Cr
"3 BHK Flat  for Sale in Sector 110, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2794-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-110-in-Noida&id=4d423831333436373637,2794 sqft,Ready to Move,26 out of 30,Resale,Unfurnished,North - West,3,"Sector 110, Dadri Road, Noida",4d423831333436373637,2025-10-15T17:58:54.075191+00:00,₹3.20 Cr
"3 BHK Flat  for Sale in Sector 94, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2105-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-94-in-Noida&id=4d423437343839313131,2105 sqft,Ready to Move,23 out of 44,New Property,Unfurnished,East,3,"Sector 94, Noida Express Way, Noida",4d423437343839313131,2025-10-15T17:58:54.079363+00:00,₹2.90 Cr
"3 BHK Flat  for Sale in Sector 61, Ashok Marg, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1750-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-61-in-Noida&id=4d423831313036343639,1650 sqft,Ready to Move,6 out of 8,Resale,Furnished,North - West,3,"Sector 61, Ashok Marg, Noida",4d423831313036343639,2025-10-15T17:58:54.082460+00:00,₹2.21 Cr
"5 BHK Flat  for Sale in Sector 115, Noida",https://www.magicbricks.com/propertyDetails/5-BHK-6939-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-115-in-Noida&id=4d423736383031343431,4085 sqft,,16 out of 29,Resale,Semi-Furnished,North - East,5,"Sector 115, Noida",4d423736383031343431,2025-10-15T17:58:54.090689+00:00,₹11 Cr
"4 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-3501-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423432363033313037,2827 sqft,Ready to Move,10 out of 30,New Property,Semi-Furnished,East,4,"Sector 107, Dadri Road, Noida",4d423432363033313037,2025-10-15T17:58:54.093309+00:00,₹6.50 Cr
"4 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-2405-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423739303534313633,2405 sqft,,,New Property,Unfurnished,,4,"Noida Extension, Noida",4d423739303534313633,2025-10-15T17:58:54.095834+00:00,₹2.88 Cr
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1357-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423739323035363837,1000 sqft,,3 out of 3,New Property,Semi-Furnished,East,3,"Noida Extension, Noida",4d423739323035363837,2025-10-15T17:58:54.104539+00:00,₹1.47 Cr
"3 BHK Flat  for Sale in Sector 150, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2350-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-150-in-Noida&id=4d423831343239323937,2350 sqft,,,New Property,Unfurnished,,3,"Sector 150, Pusta Road, Noida",4d423831343239323937,2025-10-15T17:58:54.106554+00:00,₹3.83 Cr
"4 BHK Flat  for Sale in Sector 77, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-4075-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-77-in-Noida&id=4d423831353037383833,4075 sqft,,,New Property,Unfurnished,,4,"Sector 77, Noida",4d423831353037383833,2025-10-15T17:58:54.111614+00:00,₹6.11 Cr
"3 BHK Flat  for Sale in Sector 137, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1565-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-137-in-Noida&id=4d423831303931353033,1150 sqft,Ready to Move,14 out of 24,Resale,Semi-Furnished,North - East,3,"Sector 137, Noida Express Way, Noida",4d423831303931353033,2025-10-15T17:58:54.115462+00:00,₹1.22 Cr
"4 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-1995-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423739343136333933,1995 sqft,Ready to Move,17 out of 20,Resale,Unfurnished,North - East,4,"Noida Extension, Noida",4d423739343136333933,2025-10-15T17:58:54.118050+00:00,₹1.55 Cr
"3 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1395-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423733363237323031,1395 sqft,Ready to Move,,New Property,Unfurnished,,3,"Sector 107, Dadri Road, Noida",4d423733363237323031,2025-10-15T17:58:54.120686+00:00,₹85 Lac
"5 BHK Flat  for Sale in Sector 75, Noida",https://www.magicbricks.com/propertyDetails/5-BHK-6300-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-75-in-Noida&id=4d423831353930373935,6300 sqft,,,New Property,,,5,"Sector 75, Noida",4d423831353930373935,2025-10-15T17:58:54.123515+00:00,₹9.76 Cr
"4 BHK  House for Sale in Sector 105, Noida Express Way Noida",https://www.magicbricks.com/propertyDetails/4-BHK-300-Sq-m-Residential-House-FOR-Sale-Sector-105-in-Noida&id=4d423831303934333633,300 sqm,Ready to Move,,Resale,Semi-Furnished,North - East,4,"Sector 105, Noida Express Way Noida",4d423831303934333633,2025-10-15T17:58:54.125974+00:00,₹9.25 Cr
"4 BHK Flat  for Sale in Sector 121, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-2448-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-121-in-Noida&id=4d423736373538373237,1577 sqft,Ready to Move,2 out of 28,Resale,Semi-Furnished,North - East,4,"Sector 121, Noida",4d423736373538373237,2025-10-15T17:58:54.128585+00:00,₹5.45 Cr
"4 BHK Flat  for Sale in Sector 128, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-4507-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-128-in-Noida&id=4d423737393038363431,4507 sqft,,32 out of 34,Resale,Semi-Furnished,North - East,4,"Sector 128, Noida Express Way, Noida",4d423737393038363431,2025-10-15T17:58:54.132864+00:00,₹10.59 Cr
"4 BHK Flat  for Sale in Sector 150, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-3200-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-150-in-Noida&id=4d423830303539343733,2166 sqft,Ready to Move,5 out of 24,New Property,Unfurnished,North - East,4,"Sector 150, Pusta Road, Noida",4d423830303539343733,2025-10-15T17:58:54.141167+00:00,₹3.50 Cr
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1675-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423831363338373931,1020 sqft,Ready to Move,32 out of 32,Resale,Semi-Furnished,East,3,"Noida Extension, Noida",4d423831363338373931,2025-10-15T17:58:54.147778+00:00,₹2.15 Cr
"4 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-1810-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423831353838353933,1810 sqft,Ready to Move,17 out of 22,Resale,Furnished,East,4,"Noida Extension, Noida",4d423831353838353933,2025-10-15T17:58:54.157146+00:00,₹1.66 Cr
"3 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1755-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423738373031343031,1755 sqft,Ready to Move,2 out of 6,New Property,Unfurnished,East,3,"Sector 107, Dadri Road, Noida",4d423738373031343031,2025-10-15T17:58:54.173106+00:00,₹63 Lac
"1 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/1-BHK-641-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423739363733323231,400 sqft,Ready to Move,10 out of 20,New Property,Unfurnished,North,1,"Noida Extension, Noida",4d423739363733323231,2025-10-15T17:58:54.177020+00:00,₹88 Lac
"3 BHK  House for Sale in Sector 144, Noida Express Way Noida",https://www.magicbricks.com/propertyDetails/3-BHK-450-Sq-m-Residential-House-FOR-Sale-Sector-144-in-Noida&id=4d423739363439363931,450 sqm,Ready to Move,,Resale,Semi-Furnished,North,3,"Sector 144, Noida Express Way Noida",4d423739363439363931,2025-10-15T17:58:54.179161+00:00,₹7 Cr
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1675-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423738353332323733,1020 sqft,Ready to Move,25 out of 31,Resale,Semi-Furnished,North - East,3,"Noida Extension, Noida",4d423738353332323733,2025-10-15T17:58:54.181596+00:00,₹2.15 Cr
"3 BHK Flat  for Sale in Sector 78, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1550-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-78-in-Noida&id=4d423738303238373637,1086 sqft,Ready to Move,7 out of 20,Resale,Semi-Furnished,East,3,"Sector 78, Noida",4d423738303238373637,2025-10-15T17:58:54.186427+00:00,₹2 Cr
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1775-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423537393132333537,1076 sqft,Ready to Move,12 out of 32,New Property,Furnished,North - East,3,"Noida Extension, Noida",4d423537393132333537,2025-10-15T17:58:54.193321+00:00,₹1.64 Cr
"3 BHK Flat  for Sale in Sector 150, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1625-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-150-in-Noida&id=4d423530343431313538,1250 sqft,Ready to Move,5 out of 26,New Property,Semi-Furnished,North - East,3,"Sector 150, Pusta Road, Noida",4d423530343431313538,2025-10-15T17:59:07.908864+00:00,₹1.55 Cr
"4 BHK Flat  for Sale in Sector 92, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-4100-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-92-in-Noida&id=4d423830353239383437,4100 sqft,Ready to Move,3 out of 6,Resale,Semi-Furnished,North - East,4,"Sector 92, Noida",4d423830353239383437,2025-10-15T17:59:07.910990+00:00,₹7 Cr
"3 BHK Flat  for Sale in Aditya Urban Casa, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1835-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Noida&id=4d423830373632353937,922 sqft,Ready to Move,6 out of 22,Resale,Semi-Furnished,East,3,"Aditya Urban Casa, Noida",4d423830373632353937,2025-10-15T17:59:07.913815+00:00,₹2.35 Cr
"3 BHK Flat  for Sale in Sector 51, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1450-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Sector-51-in-Noida&id=4d423830373937303437,1250 sqft,Ready to Move,3 out of 5,New Property,Semi-Furnished,North - East,3,"Sector 51, Noida",4d423830373937303437,2025-10-15T17:59:07.918459+00:00,₹76 Lac
"3 BHK Flat  for Sale in Sector 134, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1570-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-134-in-Noida&id=4d423736363236353033,1130 sqft,Ready to Move,9 out of 18,Resale,Semi-Furnished,North - East,3,"Sector 134, Noida Express Way, Noida",4d423736363236353033,2025-10-15T17:59:07.922531+00:00,₹1.20 Cr
"3 BHK Flat  for Sale in Sector 150, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1907-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-150-in-Noida&id=4d423831333739383139,1860 sqft,Ready to Move,3 out of 12,New Property,Semi-Furnished,East,3,"Sector 150, Pusta Road, Noida",4d423831333739383139,2025-10-15T17:59:07.924537+00:00,₹2.30 Cr
"3 BHK Flat  for Sale in Sector 93A, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2150-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-93A-in-Noida&id=4d423831323839323739,2150 sqft,Ready to Move,12 out of 22,Resale,Furnished,North - East,3,"Sector 93A, Noida Express Way, Noida",4d423831323839323739,2025-10-15T17:59:07.926020+00:00,₹3.60 Cr
"3 BHK Flat  for Sale in Aditya Urban Casa, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2500-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Noida&id=4d423830353534323739,1800 sqft,Ready to Move,34 out of 34,Resale,Semi-Furnished,North - East,3,"Aditya Urban Casa, Noida",4d423830353534323739,2025-10-15T17:59:07.927848+00:00,₹4.25 Cr
"3 BHK Flat  for Sale in Sector 121, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1350-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-121-in-Noida&id=4d423738303233393331,844 sqft,Ready to Move,26 out of 28,Resale,Semi-Furnished,North - East,3,"Sector 121, Noida",4d423738303233393331,2025-10-15T17:59:07.929289+00:00,₹2.22 Cr
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1535-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423634383532373135,1300 sqft,Ready to Move,,Resale,Unfurnished,East,3,"Noida Extension, Noida",4d423634383532373135,2025-10-15T17:59:07.930530+00:00,₹1.36 Cr
"3 BHK Flat  for Sale in Garhi Village, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1380-Sq-ft-Multistorey-Apartment-FOR-Sale-Garhi-in-Noida&id=4d423831333030343631,1380 sqft,Ready to Move,7 out of 17,New Property,Unfurnished,North - East,3,"Garhi Village, Noida",4d423831333030343631,2025-10-15T17:59:07.932785+00:00,₹1.93 Cr
"5 BHK  House for Sale in Sector 15A, Noida Express Way Noida",https://www.magicbricks.com/propertyDetails/5-BHK-3228-Sq-ft-Residential-House-FOR-Sale-Sector-15A-in-Noida&id=4d423735373635393731,200 sqm,Ready to Move,,Resale,Semi-Furnished,North - West,5,"Sector 15A, Noida Express Way Noida",4d423735373635393731,2025-10-15T17:59:07.935455+00:00,₹13 Cr
"3 BHK Flat  for Sale in Sector 137, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1560-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-137-in-Noida&id=4d423830333731343037,1560 sqft,Ready to Move,7 out of 20,Resale,Semi-Furnished,North - West,3,"Sector 137, Noida Express Way, Noida",4d423830333731343037,2025-10-15T17:59:07.937940+00:00,₹1.80 Cr
"3 BHK Flat  for Sale in Sector 143B, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1380-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-143-B-in-Noida&id=4d423831303537353935,1380 sqft,Ready to Move,10 out of 17,New Property,Unfurnished,East,3,"Sector 143B, Noida",4d423831303537353935,2025-10-15T17:59:07.939628+00:00,₹1.44 Cr
"3 BHK Flat  for Sale in Sultanpur, Sector 128, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1856-Sq-ft-Multistorey-Apartment-FOR-Sale-Sultanpur-in-Noida&id=4d423739323039303739,1484 sqft,Ready to Move,10 out of 18,Resale,Semi-Furnished,North - East,3,"Sultanpur, Sector 128, Noida Express Way, Noida",4d423739323039303739,2025-10-15T17:59:07.940948+00:00,₹2.25 Cr
"3 BHK Flat  for Sale in Sector 44, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2700-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-44-in-Noida&id=4d423830373036343737,1900 sqft,,2 out of 26,New Property,Semi-Furnished,North - East,3,"Sector 44, Dadri Road, Noida",4d423830373036343737,2025-10-15T17:59:07.942291+00:00,₹6.02 Cr
"4 BHK Flat  for Sale in Sector 128, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-4000-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-128-in-Noida&id=4d423732383238393431,2400 sqft,Ready to Move,4 out of 4,Resale,Semi-Furnished,North - East,4,"Sector 128, Noida Express Way, Noida",4d423732383238393431,2025-10-15T17:59:07.943573+00:00,₹7.80 Cr
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1395-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423831303738393631,820 sqft,Ready to Move,17 out of 18,Resale,Semi-Furnished,South,3,"Noida Extension, Noida",4d423831303738393631,2025-10-15T17:59:07.944779+00:00,₹97.7 Lac
"3 BHK Flat  for Sale in Sector 10 Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-10-Noida-Extension-in-Noida&id=4d423831343333303035,833 sqft,,4 out of 4,New Property,Semi-Furnished,North - East,3,"Sector 10 Noida Extension, Noida",4d423831343333303035,2025-10-15T17:59:07.946095+00:00,₹1.37 Cr
"4 BHK Flat  for Sale in Sector 44, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-3165-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-44-in-Noida&id=4d423831313933313235,2600 sqft,Ready to Move,4 out of 9,Resale,Furnished,North - East,4,"Sector 44, Dadri Road, Noida",4d423831313933313235,2025-10-15T17:59:07.947345+00:00,₹9 Cr
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1675-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423831333731333637,1275 sqft,Ready to Move,10 out of 20,Resale,Semi-Furnished,East,3,"Noida Extension, Noida",4d423831333731333637,2025-10-15T17:59:07.949299+00:00,₹2.16 Cr
"3 BHK Flat  for Sale in Sector 134, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1658-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-134-in-Noida&id=4d423737363237303837,1350 sqft,Ready to Move,12 out of 14,Resale,Unfurnished,East,3,"Sector 134, Noida Express Way, Noida",4d423737363237303837,2025-10-15T17:59:07.951983+00:00,₹1.70 Cr
"3 BHK Flat  for Sale in Sector 128, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-3000-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-128-in-Noida&id=4d423831363932363735,1608 sqft,,,New Property,Unfurnished,,3,"Sector 128, Noida Express Way, Noida",4d423831363932363735,2025-10-15T17:59:07.953613+00:00,₹5.68 Cr
"3 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1795-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423831333330313139,1795 sqft,,,New Property,Unfurnished,,3,"Sector 107, Dadri Road, Noida",4d423831333330313139,2025-10-15T17:59:07.955863+00:00,₹1.09 Cr
"4 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-3501-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423831363335393235,2085 sqft,Ready to Move,5 out of 30,Resale,Semi-Furnished,South - East,4,"Sector 107, Dadri Road, Noida",4d423831363335393235,2025-10-15T17:59:07.957846+00:00,₹9 Cr
"3 BHK Flat  for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2500-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423831373038323937,1313 sqft,,4 out of 28,New Property,Semi-Furnished,East,3,"Sector 107, Dadri Road, Noida",4d423831373038323937,2025-10-15T17:59:07.960531+00:00,₹4.29 Cr
"4 BHK Flat  for Sale in RG Residency, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-2845-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Noida&id=4d423737383932323733,2845 sqft,,4 out of 28,New Property,Semi-Furnished,,4,"RG Residency, Noida",4d423737383932323733,2025-10-15T17:59:07.962788+00:00,₹3.41 Cr
"4 BHK Flat  for Sale in Sector 150, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-3027-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-150-in-Noida&id=4d423830353131323639,2200 sqft,Ready to Move,6 out of 33,Resale,Semi-Furnished,East,4,"Sector 150, Pusta Road, Noida",4d423830353131323639,2025-10-15T17:59:07.965478+00:00,₹3.80 Cr
"3 BHK Flat  for Sale in Sector 150, Pusta Road, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-3300-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-150-in-Noida&id=4d423830383035353035,2251 sqft,,5 out of 5,Resale,Unfurnished,North - East,3,"Sector 150, Pusta Road, Noida",4d423830383035353035,2025-10-15T17:59:07.969724+00:00,₹5.35 Cr
"3 BHK Flat  for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1610-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423830393134373037,1208 sqft,Ready to Move,15 out of 20,New Property,Unfurnished,North - West,3,"Noida Extension, Noida",4d423830393134373037,2025-10-15T17:59:07.972065+00:00,₹1.16 Cr
"3 BHK Flat for Sale in Sector 115, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2034-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-115-in-Noida&id=4d423831303930303139,1400 sqft,,13 out of 28,Resale,Semi-Furnished,North - East,3,"Sector 115, Noida",4d423831303930303139,2025-10-15T17:59:24.845508+00:00,₹2.94 Cr
"4 BHK Flat for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-4775-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423831313734383639,4775 sqft,,10 out of 29,New Property,Furnished,North - East,4,"Sector 107, Dadri Road, Noida",4d423831313734383639,2025-10-15T17:59:24.848465+00:00,₹8.09 Cr
"3 BHK Flat for Sale in Sector 74, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1440-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-74-in-Noida&id=4d423831363932383139,1440 sqft,Ready to Move,7 out of 20,Resale,Semi-Furnished,North - East,3,"Sector 74, Noida",4d423831363932383139,2025-10-15T17:59:24.850086+00:00,₹1.70 Cr
"4 BHK Flat for Sale in Sultanpur, Sector 128, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-5300-Sq-ft-Multistorey-Apartment-FOR-Sale-Sultanpur-in-Noida&id=4d423831343134383835,3200 sqft,,30 out of 36,New Property,Unfurnished,North - East,4,"Sultanpur, Sector 128, Noida Express Way, Noida",4d423831343134383835,2025-10-15T17:59:24.851218+00:00,₹13.26 Cr
"4 BHK Flat for Sale in Sector 146, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-3225-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-146-in-Noida&id=4d423830383638343433,3225 sqft,,,New Property,Unfurnished,,4,"Sector 146, Noida",4d423830383638343433,2025-10-15T17:59:24.852030+00:00,₹5.52 Cr
"4 BHK Flat for Sale in Sector 44, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-4208-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-44-in-Noida&id=4d423831353137363537,4208 sqft,,,New Property,Unfurnished,,4,"Sector 44, Dadri Road, Noida",4d423831353137363537,2025-10-15T17:59:24.852924+00:00,₹11.10 Cr
"3 BHK Flat for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1775-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423831363835313733,1775 sqft,,,New Property,Unfurnished,,3,"Noida Extension, Noida",4d423831363835313733,2025-10-15T17:59:24.853764+00:00,₹1.90 Cr
"5 BHK Flat for Sale in Sector 107, Dadri Road, Noida",https://www.magicbricks.com/propertyDetails/5-BHK-6570-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-107-in-Noida&id=4d423831363838393633,3904 sqft,,,New Property,Unfurnished,,5,"Sector 107, Dadri Road, Noida",4d423831363838393633,2025-10-15T17:59:24.854520+00:00,₹15.39 Cr
"3 BHK Flat for Sale in Noida Extension, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1565-Sq-ft-Multistorey-Apartment-FOR-Sale-Noida-Extension-in-Noida&id=4d423831363031303535,1565 sqft,,,New Property,Unfurnished,,3,"Noida Extension, Noida",4d423831363031303535,2025-10-15T17:59:24.855303+00:00,₹1.60 Cr
"4 BHK Flat for Sale in Sector 45, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/4-BHK-3530-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-45-in-Noida&id=4d423831343330313135,1974 sqft,,,New Property,Unfurnished,,4,"Sector 45, Noida Express Way, Noida",4d423831343330313135,2025-10-15T17:59:24.856129+00:00,₹7.05 Cr
"5 BHK Flat for Sale in Sector 128, Noida Express Way, Noida",https://www.magicbricks.com/propertyDetails/5-BHK-4026-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-128-in-Noida&id=4d423831343536303035,3341 sqft,,,New Property,Unfurnished,,5,"Sector 128, Noida Express Way, Noida",4d423831343536303035,2025-10-15T17:59:24.856937+00:00,₹12.88 Cr
